,ISIN,Date,Quote,Yield_Deterministic,ModifiedDuration_Deterministic,AccruedInterest,BPVP,CVXP,OAModifiedDuration
125,DK0002044551,2021-01-04 00:00:00,101.825,0.0086893715,13.4700970258,0.013889,3.08968,-7.61405,3.03389012816116
124,DK0002044551,2021-01-05 00:00:00,101.825,0.0086891307,13.4673621725,0.016667,3.07578,-7.66767,3.0201587332619
123,DK0002044551,2021-01-06 00:00:00,101.6,0.0088532287,13.4516680153,0.019444,3.23878,-7.6615,3.18716563731642
122,DK0002044551,2021-01-07 00:00:00,101.55,0.0088892027,13.4405723247,0.027778,3.34856,-7.73843,3.2965477941445
121,DK0002044551,2021-01-08 00:00:00,101.45,0.0089623499,13.4326266047,0.030556,3.44959,-7.78831,3.39926202217497
120,DK0002044551,2021-01-11 00:00:00,101.3,0.0090723329,13.4212089754,0.033333,3.63342,-7.87624,3.58561185390004
119,DK0002044551,2021-01-12 00:00:00,101.025,0.0092747943,13.4025158006,0.036111,3.87299,-7.79936,3.83232478020156
118,DK0002044551,2021-01-13 00:00:00,101.25,0.0091087767,13.4128332683,0.038889,3.69682,-7.84079,3.64977840758032
117,DK0002044551,2021-01-14 00:00:00,101.4,0.0089979251,13.4133054505,0.047222,3.49604,-7.82889,3.44616632281956
116,DK0002044551,2021-01-15 00:00:00,101.275,0.0090896981,13.4033247121,0.05,3.54148,-7.83431,3.49516901060943
115,DK0002044551,2021-01-18 00:00:00,101.225,0.009126364,13.397685053,0.052778,3.74937,-7.99784,3.70206581743924
114,DK0002044551,2021-01-19 00:00:00,101.125,0.009199964,13.3891388442,0.055556,3.84793,-7.9788,3.80303306496952
113,DK0002044551,2021-01-20 00:00:00,101.225,0.0091260369,13.3922054947,0.058333,3.77897,-8.02085,3.73108772002991
112,DK0002044551,2021-01-21 00:00:00,101.075,0.0092363092,13.3752690121,0.066667,3.90481,-8.04095,3.86073328215957
111,DK0002044551,2021-01-22 00:00:00,101.275,0.0090885073,13.3841491639,0.069444,3.70652,-7.99869,3.65734899093235
110,DK0002044551,2021-01-25 00:00:00,101.5,0.0089226932,13.3944535664,0.072222,3.33095,-8.00515,3.2793906979804
109,DK0002044551,2021-01-26 00:00:00,101.375,0.0090144691,13.3844726642,0.075,3.4029,-8.03276,3.3542631838344
108,DK0002044551,2021-01-27 00:00:00,101.45,0.0089590713,13.3860820484,0.077778,3.35574,-8.04329,3.30524322121971
107,DK0002044551,2021-01-28 00:00:00,101.325,0.009050598,13.3706165986,0.086111,3.44075,-8.04388,3.39287279872124
106,DK0002044551,2021-01-29 00:00:00,101.2,0.0091427072,13.3606144437,0.088889,3.6208,-7.97206,3.57472575298955
105,DK0002044551,2021-02-01 00:00:00,101.15,0.0091795137,13.3549658249,0.091667,3.60602,-7.8382,3.56179437464221
104,DK0002044551,2021-02-02 00:00:00,100.95,0.0093275175,13.3405724378,0.094444,4.0247,-7.09239,3.98309876394589
103,DK0002044551,2021-02-03 00:00:00,100.8,0.0094388058,13.3290716864,0.097222,4.25619,-7.0841,4.21834210658446
102,DK0002044551,2021-02-04 00:00:00,100.625,0.0095688401,13.3105995581,0.105556,4.39294,-6.97106,4.36107986934967
101,DK0002044551,2021-02-05 00:00:00,100.425,0.0097181631,13.2961223476,0.108333,4.58252,-6.88255,4.55820956418504
100,DK0002044551,2021-02-08 00:00:00,100.275,0.009830463,13.284557386,0.111111,4.82437,-6.75145,4.8058142226468
99,DK0002044551,2021-02-09 00:00:00,100.325,0.0097929394,13.2847511971,0.113889,4.81044,-6.89445,4.7894197634942
98,DK0002044551,2021-02-10 00:00:00,100.375,0.0097554294,13.2849441482,0.116667,4.80616,-6.97947,4.7826453112774
97,DK0002044551,2021-02-11 00:00:00,100.575,0.009605602,13.2884526413,0.125,4.63693,-7.06539,4.60469712015889
96,DK0002044551,2021-02-12 00:00:00,100.35,0.0097739696,13.2724855021,0.127778,4.89211,-7.07484,4.86884771675584
95,DK0002044551,2021-02-15 00:00:00,99.9,0.0101125147,13.243186799,0.130556,5.23253,-6.68251,5.23093163652914
94,DK0002044551,2021-02-16 00:00:00,99.775,0.0102069901,13.233034538,0.133333,5.41015,-6.55479,5.41511387243344
93,DK0002044551,2021-02-17 00:00:00,99.6,0.0103395789,13.2199010414,0.136111,5.5253,-6.45788,5.53991923747658
92,DK0002044551,2021-02-18 00:00:00,99.15,0.0106823448,13.1848356617,0.144444,5.88894,-6.24973,5.9307850094815
91,DK0002044551,2021-02-19 00:00:00,98.75,0.0109889472,13.158129326,0.147222,6.14917,-5.95223,6.21773784505292
90,DK0002044551,2021-02-22 00:00:00,98.875,0.0108931328,13.1628654495,0.15,6.10071,-5.87023,6.16077758141883
89,DK0002044551,2021-02-23 00:00:00,98.55,0.0111432667,13.1405869385,0.152778,6.28766,-5.72112,6.37029689275818
88,DK0002044551,2021-02-24 00:00:00,98.25,0.0113753225,13.1197378095,0.155556,6.49712,-5.54154,6.60239143407716
87,DK0002044551,2021-02-25 00:00:00,97.475,0.0119801278,13.0643991262,0.163889,6.90492,-5.11586,7.07189529778447
86,DK0002044551,2021-02-26 00:00:00,98.075,0.0115121197,13.0980894881,0.166667,6.53909,-4.97239,6.65612687537153
85,DK0002044551,2021-03-01 00:00:00,99.075,0.0107408136,13.1555302828,0.169444,6.0747,-5.52264,6.1209471837033
84,DK0002044551,2021-03-02 00:00:00,99.3,0.0105688609,13.1662233382,0.172222,5.89462,-5.78299,5.925895573138
83,DK0002044551,2021-03-03 00:00:00,98.875,0.0108945353,13.1380253143,0.175,6.24022,-5.71597,6.30007067137809
82,DK0002044551,2021-03-04 00:00:00,98.8,0.010952702,13.1252402029,0.183333,6.31238,-5.60085,6.37721504083925
81,DK0002044551,2021-03-05 00:00:00,98.4,0.0112617195,13.0983823639,0.186111,6.56253,-5.40461,6.65664760830255
80,DK0002044551,2021-03-08 00:00:00,98.175,0.0114365056,13.0820113245,0.188889,6.73071,-5.24602,6.84266357138441
79,DK0002044551,2021-03-09 00:00:00,98.5,0.011165421,13.1003985355,0.191667,6.54901,-5.30034,6.63582873719217
78,DK0002044551,2021-03-10 00:00:00,98.7,0.0110304566,13.1081808852,0.194444,6.40086,-5.34734,6.47241618548358
77,DK0002044551,2021-03-11 00:00:00,99.025,0.0107807548,13.1194314616,0.202778,6.24198,-5.63328,6.29055706558299
76,DK0002044551,2021-03-12 00:00:00,98.725,0.0109926007,13.1001449409,0.205556,6.41238,-5.49451,6.48169813176831
75,DK0002044551,2021-03-15 00:00:00,98.675,0.0110699877,13.0913594261,0.208333,6.48025,-5.39629,6.55342999006718
